2023_RGB_8cm_W07B_15: left=-1000.0, bottom=-3773000.0, right=0.0, top=-3772000.0
2023_RGB_8cm_W07B_17: left=-4000.0, bottom=-3774000.0, right=-3000.0, top=-3773000.0
2023_RGB_8cm_W07B_18: left=-3000.0, bottom=-3774000.0, right=-2000.0, top=-3773000.0
2023_RGB_8cm_W07B_19: left=-2000.0, bottom=-3774000.0, right=-1000.0, top=-3773000.0
2023_RGB_8cm_W07B_20: left=-1000.0, bottom=-3774000.0, right=0.0, top=-3773000.0
2023_RGB_8cm_W07B_21: left=-5000.0, bottom=-3775000.0, right=-4000.0, top=-3774000.0
2023_RGB_8cm_W07B_22: left=-4000.0, bottom=-3775000.0, right=-3000.0, top=-3774000.0
2023_RGB_8cm_W07B_23: left=-3000.0, bottom=-3775000.0, right=-2000.0, top=-3774000.0
2023_RGB_8cm_W07B_24: left=-2000.0, bottom=-3775000.0, right=-1000.0, top=-3774000.0
2023_RGB_8cm_W07C_1: left=-10000.0, bottom=-3776000.0, right=-9000.0, top=-3775000.0
2023_RGB_8cm_W07C_2: left=-9000.0, bottom=-3776000.0, right=-8000.0, top=-3775000.0
2023_RGB_8cm_W07C_3: left=-8000.0, bottom=-3776000.0, right=-7000.0, top=-3775000.0
2023_RGB_8cm_W07C_4: left=-7000.0, bottom=-3776000.0, right=-6000.0, top=-3775000.0
2023_RGB_8cm_W07C_5: left=-6000.0, bottom=-3776000.0, right=-5000.0, top=-3775000.0
2023_RGB_8cm_W07C_6: left=-10000.0, bottom=-3777000.0, right=-9000.0, top=-3776000.0
2023_RGB_8cm_W07C_7: left=-9000.0, bottom=-3777000.0, right=-8000.0, top=-3776000.0
2023_RGB_8cm_W07C_8: left=-8000.0, bottom=-3777000.0, right=-7000.0, top=-3776000.0
2023_RGB_8cm_W07C_9: left=-7000.0, bottom=-3777000.0, right=-6000.0, top=-3776000.0
2023_RGB_8cm_W07C_10: left=-6000.0, bottom=-3777000.0, right=-5000.0, top=-3776000.0
2023_RGB_8cm_W07C_11: left=-10000.0, bottom=-3778000.0, right=-9000.0, top=-3777000.0
2023_RGB_8cm_W07C_12: left=-9000.0, bottom=-3778000.0, right=-8000.0, top=-3777000.0
2023_RGB_8cm_W07C_13: left=-8000.0, bottom=-3778000.0, right=-7000.0, top=-3777000.0
2023_RGB_8cm_W07C_14: left=-7000.0, bottom=-3778000.0, right=-6000.0, top=-3777000.0
2023_RGB_8cm_W07C_15: left=-6000.0, bottom=-3778000.0, right=-5000.0, top=-3777000.0
2023_RGB_8cm_W07C_16: left=-10000.0, bottom=-3779000.0, right=-9000.0, top=-3778000.0
2023_RGB_8cm_W07C_17: left=-9000.0, bottom=-3779000.0, right=-8000.0, top=-3778000.0
2023_RGB_8cm_W07C_18: left=-8000.0, bottom=-3779000.0, right=-7000.0, top=-3778000.0
2023_RGB_8cm_W07C_19: left=-7000.0, bottom=-3779000.0, right=-6000.0, top=-3778000.0
2023_RGB_8cm_W07C_20: left=-6000.0, bottom=-3779000.0, right=-5000.0, top=-3778000.0
2023_RGB_8cm_W07C_21: left=-10000.0, bottom=-3780000.0, right=-9000.0, top=-3779000.0
2023_RGB_8cm_W07C_22: left=-9000.0, bottom=-3780000.0, right=-8000.0, top=-3779000.0
2023_RGB_8cm_W07C_23: left=-8000.0, bottom=-3780000.0, right=-7000.0, top=-3779000.0
2023_RGB_8cm_W07C_24: left=-7000.0, bottom=-3780000.0, right=-6000.0, top=-3779000.0
2023_RGB_8cm_W07C_25: left=-6000.0, bottom=-3780000.0, right=-5000.0, top=-3779000.0
2023_RGB_8cm_W07D_1: left=-5000.0, bottom=-3776000.0, right=-4000.0, top=-3775000.0
2023_RGB_8cm_W07D_2: left=-4000.0, bottom=-3776000.0, right=-3000.0, top=-3775000.0
2023_RGB_8cm_W07D_3: left=-3000.0, bottom=-3776000.0, right=-2000.0, top=-3775000.0
